종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","254000","4500","1.80","1.484954766E9"
"000660","SK하이닉스","1816000","57000","3.24","1.294267495E9"
"402340","SK스퀘어","1096000","-13000","-1.17","1.44626391E8"
"009150","삼성전기","1325000","-1000","-0.08","9.8969147E7"
"005380","현대차","403000","2000","0.50","8.251738E7"
"373220","LG에너지솔루션","333000","3500","1.06","7.7922E7"
"207940","삼성바이오로직스","1545000","27000","1.78","7.1519519E7"
"032830","삼성생명","311500","-6500","-2.04","6.23E7"
"105560","KB금융","172600","1100","0.64","6.1219103E7"
"028260","삼성물산","339500","-2500","-0.73","5.5055894E7"
"329180","HD현대중공업","486500","1000","0.21","5.1063636E7"
"000270","기아","130400","-100","-0.08","5.0909855E7"
"055550","신한지주","105000","600","0.57","4.9838708E7"
"012450","한화에어로스페이스","899000","-80000","-8.17","4.6355497E7"
"034020","두산에너빌리티","70900","-1200","-1.66","4.5415785E7"
"034730","SK","623000","-7000","-1.11","4.5169184E7"
"012330","현대모비스","463500","-18500","-3.84","4.2054552E7"
"068270","셀트리온","178700","1100","0.62","4.1557347E7"
"086790","하나금융지주","130600","-1800","-1.36","3.5832428E7"
"035420","NAVER","225000","17500","8.43","3.5312454E7"
"006400","삼성SDI","431000","3000","0.70","3.4732363E7"
"010120","LS ELECTRIC","200000","-2000","-0.99","3.0E7"
"000810","삼성화재","645000","1000","0.16","2.879762E7"
"267260","HD현대일렉트릭","797000","-13000","-1.60","2.8729567E7"
"066570","LG전자","172300","3100","1.83","2.8065023E7"
"009540","HD한국조선해양","378500","6500","1.75","2.6787624E7"
"042660","한화오션","88800","900","1.02","2.7209509E7"
"005490","POSCO홀딩스","316000","3000","0.96","2.5040323E7"
"316140","우리금융지주","33100","2250","7.29","2.4099768E7"
"298040","효성중공업","2625000","-56000","-2.09","2.4476939E7"
"015760","한국전력","36200","800","2.26","2.32391E7"
"010130","고려아연","1029000","-46000","-4.28","2.1478285E7"
"017670","SK텔레콤","97900","-2100","-2.10","2.1027946E7"
"138040","메리츠금융지주","125600","2300","1.87","2.1018817E7"
"006800","미래에셋증권","37050","150","0.41","2.0731953E7"
"010140","삼성중공업","22650","-250","-1.09","1.9932E7"
"096770","SK이노베이션","116700","-13400","-10.30","1.972846E7"
"042700","한미반도체","204500","4500","2.25","1.9491345E7"
"011200","HMM","20650","-1000","-4.62","1.9477864E7"
"000150","두산","1197000","6000","0.50","1.938402E7"
"033780","KT&G","182600","0","0.00","1.8955789E7"
"051910","LG화학","260000","1000","0.39","1.8354009E7"
"024110","기업은행","21350","0","0.00","1.7025042E7"
"267250","HD현대","210500","-12000","-5.39","1.6628044E7"
"018260","삼성에스디에스","217500","8000","3.82","1.6829672E7"
"196170","알테오젠","312000","11500","3.83","1.6718939E7"
"035720","카카오","37050","850","2.35","1.6412449E7"
"079550","LIG디펜스앤에어로스페이스","696000","-66000","-8.66","1.5312E7"
"010950","S-Oil","136400","-14800","-9.79","1.5356293E7"
"086280","현대글로비스","204500","-2500","-1.21","1.53375E7"
"064350","현대로템","132500","-25900","-16.35","1.4461354E7"
"011070","LG이노텍","614000","-11000","-1.76","1.4531604E7"
"003550","LG","97700","-200","-0.20","1.4771459E7"
"047810","한국항공우주","146200","-11900","-7.53","1.4250861E7"
"030200","KT","54400","300","0.55","1.370998E7"
"278470","에이피알","354500","500","0.14","1.3271826E7"
"003670","포스코퓨처엠","143600","2000","1.41","1.2772677E7"
"272210","한화시스템","63000","-5200","-7.62","1.1901922E7"
"071050","한국금융지주","212500","-500","-0.23","1.1841773E7"
"000720","현대건설","103600","-2600","-2.45","1.1536457E7"
"259960","크래프톤","248000","5500","2.27","1.1442183E7"
"307950","현대오토에버","394000","15000","3.96","1.0805049E7"
"323410","카카오뱅크","22150","100","0.45","1.0568218E7"
"005940","NH투자증권","29250","200","0.69","1.0799279E7"
"247540","에코프로비엠","110500","2200","2.03","1.0810263E7"
"005830","DB손해보험","163400","-4500","-2.68","1.0702757E7"
"086520","에코프로","80600","2500","3.20","1.0943558E7"
"352820","하이브","225000","13000","6.13","9699038.0"
"0126Z0","삼성에피스홀딩스","392000","3500","0.90","9754155.0"
"006260","LS","305000","-2000","-0.65","9516000.0"
"003490","대한항공","26450","1000","3.93","9739436.0"
"047050","포스코인터내셔널","52700","-3600","-6.39","9271131.0"
"443060","HD현대마린솔루션","206000","-3500","-1.67","9235693.0"
"028050","삼성E&A","47650","50","0.11","9339400.0"
"016360","삼성증권","101400","1100","1.10","9055020.0"
"003230","삼양식품","1220000","69000","5.99","9190278.0"
"078930","GS","91600","-3700","-3.88","8509227.0"
"277810","레인보우로보틱스","446000","27500","6.57","8652337.0"
"161390","한국타이어앤테크놀로지","69800","-700","-0.99","8646480.0"
"039490","키움증권","300000","1500","0.50","7868495.0"
"180640","한진칼","110700","5700","5.43","7390584.0"
"036930","주성엔지니어링","149900","8900","6.31","6967520.0"
"090430","아모레퍼시픽","123500","5500","4.66","7223856.0"
"047040","대우건설","15180","-120","-0.78","6237578.0"
"064400","LG씨엔에스","67000","2500","3.88","6491359.0"
"267270","HD건설기계","134600","1900","1.43","6450287.0"
"032640","LG유플러스","14710","-30","-0.20","6243332.0"
"000880","한화","93800","-2200","-2.29","6613643.0"
"007660","이수페타시스","85800","-1200","-1.38","6298511.0"
"021240","코웨이","92300","500","0.54","6531833.0"
"326030","SK바이오팜","81900","1300","1.61","6413855.0"
"241560","두산밥캣","64200","1800","2.88","6153959.0"
"029780","삼성카드","50200","1400","2.87","5816116.0"
"000100","유한양행","72000","-2900","-3.87","5734627.0"
"377300","카카오페이","44750","2850","6.80","6053338.0"
"138930","BNK금융지주","18120","80","0.44","5623126.0"
"175330","JB금융지주","28750","1850","6.88","5362502.0"
"271560","오리온","130000","-500","-0.38","5138742.0"
"001440","대한전선","28500","400","1.42","5585789.0"
"058470","리노공업","69800","1200","1.75","5319587.0"
"240810","원익IPS","106000","5500","5.47","5202894.0"
