일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2026/07/28","4118.41","-510.36","-11.03","4370.04","4381.89","4093.73","170231.0","2.7401589E7","4.81872337E9"
"2026/07/27","4628.77","60.17","1.32","4659.50","4660.32","4480.70","171953.0","2.4976834E7","5.396597648E9"
"2026/07/24","4568.60","-307.04","-6.30","4806.46","4806.46","4539.53","226231.0","3.1289469E7","5.338192091E9"
"2026/07/23","4875.64","204.82","4.39","4794.48","4887.80","4730.59","227077.0","2.7594572E7","5.672898868E9"
"2026/07/22","4670.82","27.63","0.60","4864.40","4942.93","4666.41","204266.0","2.941774E7","5.428632694E9"
"2026/07/21","4643.19","169.86","3.80","4500.31","4709.81","4410.83","165351.0","2.5316877E7","5.390867206E9"
"2026/07/20","4473.33","-211.41","-4.51","4557.45","4694.07","4440.53","179737.0","2.9987243E7","5.207513394E9"
"2026/07/16","4684.74","-358.66","-7.11","4798.55","4820.79","4629.06","178276.0","2.9786607E7","5.457002612E9"
"2026/07/15","5043.40","312.15","6.60","4893.83","5147.68","4892.39","216309.0","3.5953766E7","5.837069923E9"
"2026/07/14","4731.25","50.86","1.09","4655.45","4818.00","4423.28","245221.0","4.7363026E7","5.486222171E9"
"2026/07/13","4680.39","-500.11","-9.65","5132.57","5219.62","4662.01","238948.0","4.1621778E7","5.448721389E9"
"2026/07/10","5180.50","122.53","2.42","5248.52","5349.35","5138.55","226468.0","3.2704152E7","5.986820666E9"
"2026/07/09","5057.97","49.53","0.99","5192.13","5236.62","4890.99","243171.0","3.9844921E7","5.834676333E9"
"2026/07/08","5008.44","-294.28","-5.55","5152.53","5407.69","4970.71","247194.0","4.3004175E7","5.793829002E9"
"2026/07/07","5302.72","-284.82","-5.10","5494.97","5524.56","5110.99","246487.0","4.1455564E7","6.130304649E9"
"2026/07/06","5587.54","-33.05","-0.59","5689.47","5789.53","5419.06","181772.0","3.220103E7","6.446143315E9"
"2026/07/03","5620.59","329.28","6.22","5358.67","5657.91","5096.16","223818.0","4.640372E7","6.484760967E9"
